split,group_id,target_scope,cascade_scheme,adaptive_filter,success,reason,baseline_aae_bpm,adaptive_aae_bpm,baseline_acc_pct,adaptive_acc_pct
train,tiaosheng3,motion_recovery,HF2_CF2,rff_lms,True,,10.985498715753424,9.475448817422945,27.397260273972602,31.506849315068493
val,tiaosheng2,motion_recovery,HF2_CF2,rff_lms,True,,5.391959635416667,4.255367838541667,57.333333333333336,64.0
test,tiaosheng1,motion_recovery,HF2_CF2,rff_lms,True,,44.25849156663907,30.909060042425498,23.841059602649008,22.516556291390728
train,tiaosheng3,motion_recovery,CF2_HF2,lms,True,,10.985498715753424,8.305289490582192,27.397260273972602,32.87671232876712
val,tiaosheng2,motion_recovery,CF2_HF2,lms,True,,5.391959635416667,24.775113932291667,57.333333333333336,44.666666666666664
test,tiaosheng1,motion_recovery,CF2_HF2,lms,True,,44.25849156663907,33.24935326986755,23.841059602649008,21.192052980132452
train,tiaosheng3,motion_recovery,CF2_HF2,volterra,True,,10.985498715753424,47.937192315924655,27.397260273972602,17.123287671232877
val,tiaosheng2,motion_recovery,CF2_HF2,volterra,True,,5.391959635416667,46.88306640625,57.333333333333336,17.333333333333336
test,tiaosheng1,motion_recovery,CF2_HF2,volterra,True,,44.25849156663907,34.877690397350996,23.841059602649008,19.205298013245034
train,tiaosheng3,motion_recovery,CF2_HF2,rff_lms,True,,10.985498715753424,9.470432229238014,27.397260273972602,31.506849315068493
val,tiaosheng2,motion_recovery,CF2_HF2,rff_lms,True,,5.391959635416667,4.248043619791667,57.333333333333336,64.0
test,tiaosheng1,motion_recovery,CF2_HF2,rff_lms,True,,44.25849156663907,29.667338188120862,23.841059602649008,22.516556291390728
train,tiaosheng3,motion_recovery,ACC3_HF2,lms,True,,10.985498715753424,57.69377073523116,27.397260273972602,15.753424657534246
val,tiaosheng2,motion_recovery,ACC3_HF2,lms,True,,5.391959635416667,9.733870442708334,57.333333333333336,50.0
test,tiaosheng1,motion_recovery,ACC3_HF2,lms,True,,44.25849156663907,37.12322149213576,23.841059602649008,15.2317880794702
train,tiaosheng3,motion_recovery,ACC3_HF2,volterra,True,,10.985498715753424,61.10353234696062,27.397260273972602,5.47945205479452
val,tiaosheng2,motion_recovery,ACC3_HF2,volterra,True,,5.391959635416667,53.35219401041667,57.333333333333336,12.666666666666668
test,tiaosheng1,motion_recovery,ACC3_HF2,volterra,True,,44.25849156663907,21.742281275869207,23.841059602649008,18.543046357615893
train,tiaosheng3,motion_recovery,ACC3_HF2,rff_lms,True,,10.985498715753424,9.009417808219178,27.397260273972602,30.136986301369863
val,tiaosheng2,motion_recovery,ACC3_HF2,rff_lms,True,,5.391959635416667,4.3768522135416665,57.333333333333336,62.0
test,tiaosheng1,motion_recovery,ACC3_HF2,rff_lms,True,,44.25849156663907,44.18869321709437,23.841059602649008,21.192052980132452
train,tiaosheng3,motion_recovery,HF2_ACC3,lms,True,,10.985498715753424,8.128524989297945,27.397260273972602,32.19178082191781
val,tiaosheng2,motion_recovery,HF2_ACC3,lms,True,,5.391959635416667,8.551009114583334,57.333333333333336,52.0
